Category,Term,Do,Don't
Planet,Sun,"Lead with purpose, clarity, and visible responsibility.","Don't let pride or rigid self-display distort judgment."
Planet,Moon,"Honor bodily rhythms, memory, and emotional responsiveness.","Don't drift into instability, overreaction, or passive dependency."
Planet,Mercury,"Study, write, trade, compare, and articulate carefully.","Don't scatter attention, distort facts, or speak without discrimination."
Planet,Venus,"Cultivate concord, beauty, tact, and gracious exchange.","Don't yield to excess pleasure, complacency, or weak boundaries."
Planet,Mars,"Act decisively, confront obstacles, and train courage with discipline.","Don't turn heat into quarrel, injury, or reckless haste."
Planet,Jupiter,"Develop justice, generosity, sound counsel, and principled growth.","Don't inflate judgment through excess confidence or moral looseness."
Planet,Saturn,"Build endurance, patience, order, and realistic limits.","Don't harden into fear, deprivation-thinking, or sterile pessimism."
Sign,Aries,"Initiate boldly and prefer direct action when the matter is clear.","Don't rush into needless conflict or burn through resources."
Sign,Taurus,"Build steadily, preserve resources, and prefer durable gains.","Don't cling so tightly that prudence becomes stagnation."
Sign,Gemini,"Learn quickly, compare viewpoints, and keep messages moving.","Don't diffuse your effort across too many competing curiosities."
Sign,Cancer,"Protect what must be preserved and respond sensitively to changing conditions.","Don't let defensiveness or mood govern every decision."
Sign,Leo,"Lead visibly, create confidently, and carry responsibility with dignity.","Don't confuse honor with vanity or demand admiration without merit."
Sign,Virgo,"Improve methods, refine craft, and attend to practical detail.","Don't reduce judgment to anxiety, over-correction, or fault-finding."
Sign,Libra,"Seek balance, mediation, and fairness in shared arrangements.","Don't become so accommodating that judgment loses firmness."
Sign,Scorpio,"Investigate deeply, endure intensity, and work through hidden motives honestly.","Don't feed secrecy, resentment, or destructive fixation."
Sign,Sagittarius,"Pursue truth, doctrine, and wider horizons with conviction.","Don't let zeal outrun evidence or discipline."
Sign,Capricorn,"Organize long-range effort and accept serious duty.","Don't let ambition harden into cold domination or joyless strain."
Sign,Aquarius,"Think objectively, support allies, and widen the social frame.","Don't mistake detachment or contrariness for wisdom."
Sign,Pisces,"Develop sympathy, imagination, and spiritual receptivity with boundaries.","Don't drift into confusion, escape, or self-undoing."
House,1st House,"Strengthen constitution, clarity of self, and direct engagement with life.","Don't neglect health, conduct, or the state of the body."
House,2nd House,"Secure goods, income, and the practical basis of life.","Don't waste resources or confuse value with mere possession."
House,3rd House,"Keep relations, messages, and local obligations in good order.","Don't let trivial disputes or distracted communications scatter effort."
House,4th House,"Attend to roots, family matters, inheritance, and foundations.","Don't ignore unresolved domestic or ancestral burdens."
House,5th House,"Support children, worthy pleasure, creativity, and measured delight.","Don't let indulgence or vanity waste strength."
House,6th House,"Improve service, labor, routine, and the management of illness.","Don't romanticize drudgery or neglect subordinate obligations."
House,7th House,"Judge marriage, contracts, alliances, disputes, and open opponents soberly.","Don't reduce every seventh-house matter to romance alone."
House,8th House,"Face mortality, fear, debts, and losses with sobriety.","Don't turn every eighth-house indication into theatrical doom."
House,9th House,"Pursue religion, doctrine, study, and long journeys with seriousness.","Don't let belief become dogmatism or aimless wandering."
House,10th House,"Advance action, profession, dignity, and public responsibility through merit.","Don't chase fame without substance or office without fitness."
House,11th House,"Rely on friends, patrons, alliances, and realistic hopes.","Don't confuse support with dependency on promises."
House,12th House,"Treat sickness, seclusion, secret enemies, exile, and hidden burdens carefully.","Don't collapse every twelfth-house indication into imprisonment alone."
Aspect,Conjunction (0°),"Treat conjunctions as direct contact that must be judged by the planets involved.","Don't assume every conjunction is uniformly good or bad."
Aspect,Square (90°),"Use friction to expose effort, conflict, and necessary correction.","Don't expect ease where the figure shows strain and resistance."
Aspect,Opposition (180°),"Handle oppositions as open tension, division, or confrontation requiring balance.","Don't pretend contrary forces can be fused without cost."
Aspect,Trine (120°),"Use trines to consolidate ease, assistance, and natural flow.","Don't let ease breed laziness or unearned confidence."
Aspect,Sextile (60°),"Take sextiles as opportunities that still require conscious application.","Don't waste small openings through passivity."
